"","playlist_name","playlist_img","track_name","track_uri","artist_name","album_name","album_img","track_added_at","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","key_mode"
"27","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Shallow","2VxeLyX666F8uXCJ0dZF8B","Lady Gaga","A Star Is Born Soundtrack","https://i.scdn.co/image/c58764827434c5471f944b0700ab98fd3d0bd5a7",1970-01-01,0.572,0.385,"G",-6.362,"major",0.0308,0.371,0,0.231,0.323,95.799,215733,4,"G major"
"28","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Eastside (with Halsey & Khalid)","7FGq80cy8juXBCD2nrqdWU","benny blanco","FRIENDS KEEP SECRETS","https://i.scdn.co/image/f3420e21041cf842dca37865ce02585c790a0f63",1970-01-01,0.632,0.686,"F#",-7.665,"minor",0.243,0.549,0,0.2,0.329,89.949,170770,4,"F# minor"
"29","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Close To Me (with Diplo) (feat. Swae Lee)","5JEx7HbmvHQQswJCsoo9rA","Ellie Goulding","Close To Me (feat. Swae Lee)","https://i.scdn.co/image/ae57b175f4e231814a63958ea13f939e1ec5aaa8",1970-01-01,0.574,0.758,"C#",-5.029,"minor",0.0621,0.0969,0,0.395,0.492,144.111,182623,4,"C# minor"
"30","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Let You Love Me","5Fla3zyOCcIRqrDoKLU0DP","Rita Ora","Phoenix (Deluxe)","https://i.scdn.co/image/47841a865a85ae39da440a1346e56190bf035d02",1970-01-01,0.531,0.854,"A#",-3.149,"major",0.198,0.288,0,0.0773,0.456,94.419,190000,4,"A# major"
"31","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Body (feat. brando)","7K7MUBCnzgBAvMVW2RTWNs","Loud Luxury","Body (feat. brando)","https://i.scdn.co/image/c8efa1b49fae6f4c47cc70715174b8f748450f34",1970-01-01,0.752,0.764,"C#",-4.399,"major",0.038,0.0476,9.44e-05,0.0543,0.582,121.958,163216,4,"C# major"
"32","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","MILLIONDOLLAR$MILE","4nBcGqwztDJ29cyHVJtXsB","Loredana","MILLIONDOLLAR$MILE","https://i.scdn.co/image/77eb7c17cafe550327280605edc2b4da694884c3",1970-01-01,0.796,0.637,"A#",-6.541,"minor",0.188,0.116,2.04e-05,0.0982,0.401,144.045,174213,4,"A# minor"
"33","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Melodien (feat. Juju)","5d35jcJj7WjDQBOHCHPY6t","Capital Bra","Melodien (feat. Juju)","https://i.scdn.co/image/6ead1731f3761e9699c3e6e0689e5af65adf6ada",1970-01-01,0.751,0.529,"B",-7.407,"minor",0.143,0.0849,0,0.0944,0.33,100.262,159518,4,"B minor"
"34","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Dior 2001","2eNSyVH3sNPiAj9WpRYK73","RIN","Planet Megatron","https://i.scdn.co/image/dabd40f16aa985fa6c1f7c44721177178b75a670",1970-01-01,0.43,0.699,"C#",-5.892,"major",0.143,0.0117,0.093,0.123,0.473,76.854,192941,4,"C# major"
"35","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Facetime","0oZyouBDStcJEUbTmSfys2","Dardan","Hypnotize","https://i.scdn.co/image/0a32fb14ffe608ac6a782d13788a94a79f941a8b",1970-01-01,0.701,0.682,"E",-6.873,"minor",0.173,0.319,0,0.113,0.446,102.004,192947,4,"E minor"
"36","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Arms Around You (feat. Maluma & Swae Lee)","2LskIZrCeLxRvCiGP8gxlh","XXXTENTACION","Arms Around You (feat. Maluma & Swae Lee)","https://i.scdn.co/image/beed5edf4331ac27c2095a04ca51d84cc25133f8",1970-01-01,0.703,0.723,"A",-5.45,"minor",0.0412,0.0302,2.06e-06,0.126,0.288,104.969,198903,4,"A minor"
"37","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Better Now","7dt6x5M1jzdTEt8oCbisTK","Post Malone","beerbongs & bentleys","https://i.scdn.co/image/77eb7c17cafe5503142eccafbd4305f6d4325832",1970-01-01,0.68,0.563,"A#",-5.843,"major",0.0454,0.354,0,0.136,0.374,145.028,231267,4,"A# major"
"38","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Like I Love You (feat. The NGHBRS)","30K9xVNSog0DVr5ey5yVoY","Lost Frequencies","Like I Love You (feat. The NGHBRS)","https://i.scdn.co/image/0b013bca486fc29b8e30011b85e3366ec6d482d9",1970-01-01,0.863,0.588,"C#",-7.141,"major",0.0847,0.142,3.42e-05,0.457,0.751,117.911,190174,4,"C# major"
"39","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Casanova","0jB0RNZIfaihaDKNmdrI40","Summer Cem","Endstufe (Deluxe Edition)","https://i.scdn.co/image/9fde36d68bd49c3f8e5320042a7d17593fa7a03b",1970-01-01,0.709,0.588,"C#",-4.461,"major",0.0721,0.0971,0,0.117,0.195,143.971,206813,4,"C# major"
"40","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Nothing Breaks Like a Heart (feat. Miley Cyrus)","27rdGxbavYJeBphck5MZAF","Mark Ronson","Nothing Breaks Like a Heart (feat. Miley Cyrus)","https://i.scdn.co/image/6660f96688785c4b222c32a53eeb484c68a10610",1970-01-01,0.601,0.794,"G",-5.844,"minor",0.0671,0.00987,1.36e-06,0.388,0.244,114.066,217467,4,"G minor"
"41","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","UFF","3Rq0ElVcisouAl71RtnTUS","Veysel","Fuego","https://i.scdn.co/image/fcfd0243ba1c5e59095be44bc88868e0feb7780e",1970-01-01,0.817,0.831,"E",-3.569,"major",0.256,0.0416,0,0.292,0.288,140.009,167773,4,"E major"
"42","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","ZEZE (feat. Travis Scott & Offset)","0FZ4Dmg8jJJAPJnvBIzD9z","Kodak Black","Dying To Live","https://i.scdn.co/image/db2133234d458f432ca207e163a801524a15f993",1970-01-01,0.861,0.603,"G#",-5.788,"minor",0.176,0.0521,0,0.0924,0.504,98.043,228760,4,"G# minor"
"43","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Allein","4tW7mc0pab35DznfVlr3px","Capital Bra","Allein","https://i.scdn.co/image/e78dc7362390f2efb201b3b5b2180aed4a1eb48e",1970-01-01,0.799,0.583,"G",-7.199,"minor",0.115,0.75,5.93e-06,0.136,0.322,119.93,222900,4,"G minor"
"44","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Fading","2RP8Svo0pMwZXnVcmOffDw","Alle Farben","Fading","https://i.scdn.co/image/8f3e40c9fb7a79d773f1763242896084b4ce0ffd",1970-01-01,0.734,0.76,"B",-5.267,"minor",0.0415,0.0232,0,0.127,0.685,122.072,207013,4,"B minor"
"45","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Neymar","7ecGSqT8Ulbzhs5QwgWGVN","Capital Bra","Berlin lebt","https://i.scdn.co/image/890ae880bcac4361a7bb4f2c87858f7728ca2b42",1970-01-01,0.75,0.662,"G",-6.142,"major",0.239,0.56,0,0.133,0.533,123.949,263647,4,"G major"
"46","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Rise","3KLygy1YWhmrQx0GRs7IOx","Jonas Blue","Blue","https://i.scdn.co/image/ead31ea0910401a808f3f6cb22dd901eea4b96c9",1970-01-01,0.687,0.785,"C#",-4.65,"major",0.0333,0.327,0,0.203,0.655,106.046,194408,4,"C# major"
"47","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Promises (with Sam Smith)","5N5k9nd479b1xpDZ4usjrg","Calvin Harris","Promises (with Sam Smith)","https://i.scdn.co/image/b0875765de11e1b6bdfbdd07c2de72e65c02f524",1970-01-01,0.781,0.768,"B",-5.991,"major",0.0394,0.0119,4.91e-06,0.325,0.486,123.07,213309,4,"B major"
"48","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Lambo Diablo GT (feat. Nimo & Juju) - Remix","3TMW1GOB1lsmvf8er2dE8g","Capo","Lambo Diablo GT (feat. Nimo & Juju) [Remix]","https://i.scdn.co/image/af830e07acc35e96674387c0d9e726a22dae18d0",1970-01-01,0.722,0.731,"B",-7.461,"minor",0.0702,0.445,6.19e-06,0.15,0.539,114.997,317902,4,"B minor"
"49","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","Love Someone","3id2EVGKc3eFAMn9nFnB0r","Lukas Graham","3 (The Purple Album)","https://i.scdn.co/image/1f3aa7ca1aca391d3abdfbd1c9a3c97f516c5787",1970-01-01,0.538,0.409,"A",-6.581,"minor",0.0505,0.172,0,0.11,0.265,171.838,205440,4,"A minor"
"50","Austria Top 50","https://charts-images.scdn.co/REGIONAL_AT_DEFAULT.jpg","SICKO MODE","2xLMifQCjDGFmkHkpNLD9h","Travis Scott","ASTROWORLD","https://i.scdn.co/image/cdca7dc20c778ada42fb18506ea1f26857f01d17",1970-01-01,0.834,0.73,"G#",-3.714,"major",0.222,0.00513,0,0.124,0.446,155.008,312820,4,"G# major"
"51","Vietnam Top 50","https://charts-images.scdn.co/REGIONAL_VN_DEFAULT.jpg","thank u, next","2rPE9A1vEgShuZxxzR2tZH","Ariana Grande","thank u, next","https://i.scdn.co/image/77eb7c17cafe550337bbb4711235a0128db66a66",1970-01-01,0.724,0.647,"C#",-5.642,"major",0.0658,0.28,0,0.102,0.435,106.96,207333,4,"C# major"
"52","Vietnam Top 50","https://charts-images.scdn.co/REGIONAL_VN_DEFAULT.jpg","Everything I Need (From Aquaman: Original Motion Picture Soundtrack) - Film Version","1SO5RyYJZUAI0aHkAkrF2p","Skylar Grey","Everything I Need (From Aquaman: Original Motion Picture Soundtrack) [Film Version]","https://i.scdn.co/image/e3cb606df5f872da7592076fc36003aca517a091",1970-01-01,0.378,0.457,"D",-9.292,"major",0.0477,0.401,0,0.0917,0.261,74.818,196227,4,"D major"
"53","Vietnam Top 50","https://charts-images.scdn.co/REGIONAL_VN_DEFAULT.jpg","Anh Ð<U+1EBF>ch C<U+1EA7>n Gì Nhi<U+1EC1>u Ngoài Em","7GxSshyjKx46dlIV2UoVrc","Ðen","Anh Ð<U+1EBF>ch C<U+1EA7>n Gì Nhi<U+1EC1>u Ngoài Em","https://i.scdn.co/image/63466c522f13cc4ff08d8e2ab5f4c57f049249ad",1970-01-01,0.82,0.276,"F#",-9.715,"minor",0.0418,0.85,0,0.124,0.333,97.392,217134,3,"F# minor"
"54","Vietnam Top 50","https://charts-images.scdn.co/REGIONAL_VN_DEFAULT.jpg","Without Me","5p7ujcrUXASCNwRaWNHR1C","Halsey","Without Me","https://i.scdn.co/image/dd916d01780a9591c8a02944fa06aaf30ca3e374",1970-01-01,0.752,0.488,"F#",-7.05,"major",0.0705,0.297,9.11e-06,0.0936,0.533,136.041,201661,4,"F# major"
"55","Vietnam Top 50","https://charts-images.scdn.co/REGIONAL_VN_DEFAULT.jpg","Sunflower - Spider-Man: Into the Spider-Verse","3KkXRkHbMCARz0aVfEt68P","Post Malone","Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture)","https://i.scdn.co/image/3aa37254a41cf96e81572524ec523cb870f2bb89",1970-01-01,0.76,0.479,"D",-5.574,"major",0.0466,0.556,0,0.0703,0.913,89.911,158040,4,"D major"
"56","Vietnam Top 50","https://charts-images.scdn.co/REGIONAL_VN_DEFAULT.jpg","SOLO","2wVDWtLKXunswWecARNILj","JENNIE","SOLO","https://i.scdn.co/image/818e3b50a414e755960fc12c4f6b28df68d20147",1970-01-01,0.751,0.642,"D#",-5.165,"minor",0.087,0.0861,0,0.0953,0.388,95.045,169567,4,"D# minor"
"57","Vietnam Top 50","https://charts-images.scdn.co/REGIONAL_VN_DEFAULT.jpg","Thuong Em La Dieu Anh Khong The Ngo","2gT5LL3uRANxvvmDxaULbQ","Noo Phuoc Thinh","Thuong Em La Dieu Anh Khong The Ngo","https://i.scdn.co/image/87b1bccb7d6c026aaf46b0dd1dc87f7a5d7c99d4",1970-01-01,0.397,0.408,"D#",-8.758,"major",0.0378,0.874,0,0.152,0.226,123.221,308459,4,"D# major"
"58","Vietnam Top 50","https://charts-images.scdn.co/REGIONAL_VN_DEFAULT.jpg","Em Khong The","6UgaKUJSO0Xp47x6pL1LaA","Tien Tien","Em Khong The","https://i.scdn.co/image/1fe39d8d1bf16a426064341995a25edb456102a6",1970-01-01,0.688,0.563,"A#",-5.945,"minor",0.0334,0.439,2.57e-06,0.345,0.243,93.023,250773,4,"A# minor"
"59","Vietnam Top 50","https://charts-images.scdn.co/REGIONAL_VN_DEFAULT.jpg","Thanh Xuan","3b34161QoxLwsqhWSPy9i5","Da LAB","Thanh Xuan","https://i.scdn.co/image/84693a3600ffce3fee9ee755c11feb09777e962a",1970-01-01,0.676,0.4,"G",-10.771,"minor",0.0405,0.855,2.71e-06,0.124,0.347,90.028,220510,4,"G minor"
"60","Vietnam Top 50","https://charts-images.scdn.co/REGIONAL_VN_DEFAULT.jpg","Let Me Down Slowly","2qxmye6gAegTMjLKEBoR3d","Alec Benjamin","Narrated For You","https://i.scdn.co/image/7cda55af5e6189d18ebc7963671bd57d6271441c",1970-01-01,0.652,0.557,"C#",-5.714,"minor",0.0318,0.74,0,0.124,0.483,150.073,169354,4,"C# minor"
"61","Vietnam Top 50","https://charts-images.scdn.co/REGIONAL_VN_DEFAULT.jpg","Girls Like You (feat. Cardi B)","7fa9MBXhVfQ8P8Df9OEbD8","Maroon 5","Red Pill Blues (Deluxe)","https://i.scdn.co/image/9ce966181dc62801ff44ac89f8c9c1921ab9302f",1970-01-01,0.851,0.541,"C",-6.825,"major",0.0505,0.568,0,0.13,0.448,124.959,235545,4,"C major"
"62","Vietnam Top 50","https://charts-images.scdn.co/REGIONAL_VN_DEFAULT.jpg","Fire On Fire","5rFj8OzffT0iggSjcBaeND","Sam Smith","Fire On Fire","https://i.scdn.co/image/d8c093b8109a5ee4c674c7e3e8837603a8b8c438",1970-01-01,0.598,0.419,"C#",-7.383,"minor",0.0473,0.513,0,0.17,0.33,114.938,246735,4,"C# minor"
"63","Vietnam Top 50","https://charts-images.scdn.co/REGIONAL_VN_DEFAULT.jpg","Moi Anh Vao Team Em","1D4VWPeg74fsfBfuTlPVam","Chi Pu","Moi Anh Vao Team Em","https://i.scdn.co/image/77eb7c17cafe55038a08b693e1c7060e76877109",1970-01-01,0.793,0.643,"B",-4.316,"minor",0.0468,0.509,0,0.293,0.608,100.044,195000,4,"B minor"
"64","Vietnam Top 50","https://charts-images.scdn.co/REGIONAL_VN_DEFAULT.jpg","Close To Me (with Diplo) (feat. Swae Lee)","5JEx7HbmvHQQswJCsoo9rA","Ellie Goulding","Close To Me (feat. Swae Lee)","https://i.scdn.co/image/ae57b175f4e231814a63958ea13f939e1ec5aaa8",1970-01-01,0.574,0.758,"C#",-5.029,"minor",0.0621,0.0969,0,0.395,0.492,144.111,182623,4,"C# minor"
"65","Vietnam Top 50","https://charts-images.scdn.co/REGIONAL_VN_DEFAULT.jpg","Wow.","6MWtB6iiXyIwun0YzU6DFP","Post Malone","Wow.","https://i.scdn.co/image/4a09059a2a756967588647bbcb5fd5f6fd8dd434",1970-01-01,0.833,0.539,"B",-7.399,"minor",0.178,0.163,2.1e-06,0.101,0.385,99.947,149520,4,"B minor"
"66","Vietnam Top 50","https://charts-images.scdn.co/REGIONAL_VN_DEFAULT.jpg","Love Someone","3id2EVGKc3eFAMn9nFnB0r","Lukas Graham","3 (The Purple Album)","https://i.scdn.co/image/1f3aa7ca1aca391d3abdfbd1c9a3c97f516c5787",1970-01-01,0.538,0.409,"A",-6.581,"minor",0.0505,0.172,0,0.11,0.265,171.838,205440,4,"A minor"
"67","Vietnam Top 50","https://charts-images.scdn.co/REGIONAL_VN_DEFAULT.jpg","Bad Habits","4QUjn6cprNKiyA8dMTOQ33","SHAUN","An-nyeong","https://i.scdn.co/image/2a0ebc87d178d89ad51c62f153b54f34b3826e01",1970-01-01,0.75,0.755,"F",-3.792,"major",0.0284,0.013,1.03e-06,0.539,0.647,120.001,212959,4,"F major"
"68","Vietnam Top 50","https://charts-images.scdn.co/REGIONAL_VN_DEFAULT.jpg","Way Back Home (feat. Conor Maynard) - Sam Feldt Edit","1ZLrDPgR7mvuTco3rQK8Pk","SHAUN","Way Back Home (feat. Conor Maynard) [Sam Feldt Edit]","https://i.scdn.co/image/f13b93678e19fee58251e0c5e6c8b2cf78ba7964",1970-01-01,0.737,0.747,"A#",-4.818,"major",0.0323,0.269,0,0.219,0.447,105.943,192453,4,"A# major"
